Marker	Layer	SampleID
S155	dMP	SP7279
S156	dMP	SP7280
S157	dMP	SP7281
S158	dMP	SP7282
S159	dMP	SP7283
S160	dMP	SP7284
S161	dMP	SP7285
S162	dMP	SP7286
S163	22	SP7287
S164	22	SP7288
S165	22	SP7289
S166	22	SP7290
S167	22	SP7291
S168	dMP	SP7292
S169	dMP	SP7293
S170	22	SP7294
S171	22	SP7295
S172	22	SP7296
S173	22	SP7297
S174	22	SP7298
S175	dMP	SP7299
S176	dMP	SP7300
S177	22	SP7301
S178	22	SP7302
S179	22	SP7303
S180	22	SP7304
S181	22	SP7305
S182	dMP	SP7306
S183	dMP	SP7307
S184	dMP	SP7308
S185	22	SP7309
S186	22	SP7310
S187	22	SP7311
S188	22	SP7312
S189	dMP	SP7313
S190	dMP	SP7314
S191	dMP	SP7315
S192	22	SP7316
S193	22	SP7317
S194	22	SP7318
S195	22	SP7319
S196	dMP	SP7320
S197	dMP	SP7321
S198	dMP	SP7322
S199	dMP	SP7323
S200	dMP	SP7324
S201	22	SP7325
S202	22	SP7326
E1	15	SP7327
E2	15	SP7328
E3	14	SP7329
E4	14	SP7330
E5	14	SP7331
E6	14	SP7332
E7	14/15	SP7333
E8	14	SP7334
E9	14	SP7335
E10	14	SP7336
E11	13/14	SP7337
E12	15	SP7338
E13	14	SP7339
E14	14	SP7340
E15	14	SP7341
E16	14	SP7342
E17	13	SP7343
E18	15	SP7344
E19	14	SP7345
E20	14	SP7346
E21	14	SP7347
E22	13	SP7348
E23	15	SP7349
E24	15	SP7350
E25	14	SP7351
E26	14	SP7352
E27	14	SP7353
E28	14	SP7354
E29	13	SP7355
E30	15	SP7356
E31	14	SP7357
E32	14	SP7358
E33	14	SP7359
E34	14	SP7360
E35	13	SP7361
E36	13	SP7362
E37	13	SP7363
E38	13	SP7364
E39	13	SP7365
E40	13	SP7366
E41	13	SP7367
E42	13	SP7368
E43	13	SP7369
E44	13	SP7370
E45	13	SP7371
E46	13	SP7372
E47	13	SP7373
E48	13	SP7374
E49	13	SP7375
E50	13	SP7376
E51	13	SP7377
E52	13	SP7378
E53	13	SP7379
E54	13	SP7380
E55	12.3	SP7381
E56	13	SP7382
E57	13	SP7383
E58	13	SP7384
E59	13	SP7385
E60	12.3	SP7386
E61	13	SP7387
E62	13	SP7388
E63	13	SP7389
E64	13	SP7390
E65	12.3	SP7391
E66	12.3	SP7392
E67	12.3	SP7393
E68	12.3	SP7394
E69	12.3	SP7395
E70	12.3	SP7396
E71	12.3	SP7397
E72	12.3	SP7398
E73	12.3	SP7399
E74	12.3	SP7400
E75	12.3	SP7401
E76	12.3	SP7402
E77	12.3	SP7403
E78	 12/13	SP7404
E79	12.3	SP7405
E80	12.3	SP7406
E81	12.3	SP7407
E82	12.3	SP7408
E83	12.3	SP7409
E84	12.3	SP7410
E85	12.3	SP7411
E86	12.3	SP7412
E87	13	SP7413
E88	 12/13	SP7414
E89	13	SP7415
E90	12.3	SP7416
E91	12.3	SP7417
E92	12.3	SP7418
E93	12.3	SP7419
E94	12.3	SP7420
E95	12.3	SP7421
E96	13	SP7422
E97	13	SP7423
E98	14	SP7424
E99	14	SP7425
E100	14	SP7426
E101	13/14	SP7427
E102	12.3	SP7428
E103	12.3	SP7429
E104	14	SP7430
E105	14	SP7431
E106	12.3	SP7432
E107	 12/13	SP7433
E108	12.3	SP7434
E109	14	SP7435
E110	14	SP7436
E111	14	SP7437
E112	12.3	SP7438
E113	 12/13	SP7439
E120	14	SP7440
E121	14	SP7441
E122	12.3	SP7442
E123	12.3	SP7443
E124	12.3	SP7444
E125	15	SP7445
E126	15	SP7446
E127	14	SP7447
E128	14	SP7448
E129	14	SP7449
E130	14	SP7450
E131	14	SP7451
E132	14	SP7452
E133	15	SP7453
E134	14	SP7454
E135	14	SP7455
E136	14	SP7456
E137	14	SP7457
E138	14	SP7458
E139	14	SP7459
E140	14	SP7460
E141	15	SP7461
E142	14	SP7462
E143	14	SP7463
E144	14	SP7464
E145	14	SP7465
E146	14	SP7466
E147	14	SP7467
E148	14	SP7468
E149	14	SP7469
E150	14	SP7470
E151	14	SP7471
E152	14	SP7472
E153	13	SP7473
E154	 12.3/13	SP7474
E155	12.3	SP7475
E156	12.3	SP7476
E157	12.3	SP7477
E158	12.3	SP7478
E159	14	SP7479
E160	14	SP7480
E161	14	SP7481
E162	13	SP7482
E163	13	SP7483
E164	12.3	SP7484
E165	12.3	SP7485
E166	12.3	SP7486
E167	12.3	SP7487
E168	12.3	SP7488
E169	14	SP7489
E170	14	SP7490
E171	13/14	SP7491
E172	13	SP7492
E173	13	SP7493
E174	12.3	SP7494
E175	12.3	SP7495
E176	12.3	SP7496
E177	12.3	SP7497
E178	12.3	SP7498
E179	14	SP7499
E180	14	SP7500
E181	13	SP7501
E182	13	SP7502
E183	13	SP7503
E184	 12.3/13	SP7504
E185	12.3	SP7505
E186	12.3	SP7506
E187	12.3	SP7507
E188	12.3	SP7508
E189	14	SP7509
E190	14	SP7510
E191	13/14	SP7511
E192	13	SP7512
E193	13	SP7513
E194	13	SP7514
E195	13	SP7515
E196	12.3	SP7516
E197	12.3	SP7517
E198	12.3	SP7518
E199	12.2	SP7519
E200	12.2	SP7520
E201	12.1	SP7521
E202	11.4	SP7522
E203	11.4	SP7523
E204	11.3	SP7524
E205	12.3	SP7525
E206	12.2	SP7526
E207	12.1	SP7527
E208	11.4	SP7528
E209	11.3	SP7529
E210	11.3	SP7530
E211	12.3	SP7531
E212	12.1/12.2	SP7532
E213	11.4/12.1	SP7533
E214	11.4	SP7534
E215	11.3	SP7535
E216	11.3	SP7536
E217	12.3	SP7537
E218	12.1	SP7538
E219	11.4	SP7539
E220	11.4	SP7540
E221	11.3	SP7541
E222	11.3	SP7542
E223	12.3	SP7543
E224	12.1/12.3	SP7544
E225	11.4	SP7545
E226	11.3	SP7546
E227	11.3	SP7547
E228	11.3	SP7548
E229	11.3	SP7549
E230	11.2	SP7550
E231	11.2	SP7551
E232	11.2	SP7552
E233	11.2	SP7553
E234	11.1/11.2	SP7554
E235	11.1	SP7555
E236	11.2	SP7556
E237	11.2	SP7557
E238	11.2	SP7558
E239	11.2	SP7559
E240	11.2	SP7560
E241	11.1	SP7561
E242	11.1	SP7562
E243	11.2	SP7563
E244	11.2	SP7564
E245	11.2	SP7565
E246	11.2	SP7566
E247	11.2	SP7567
E248	11.1	SP7568
E249	11.1	SP7569
E250	11.2	SP7570
E251	11.2	SP7571
E252	11.2	SP7572
E253	11.1/11.2	SP7573
E254	11.1	SP7574
E255	11.2	SP7575
E256	11.2	SP7576
E257	11.2	SP7577
E258	11.2	SP7578
